cbsacode,cityname,cell_width_gravity,r2,alpha,beta_num_neighbors1_log,beta_num_neighbors2_log,beta_distance_beeline_m_log
41740,SanDiego,20000,0.46618670933793327,7.270266774444989,0.7254982769983845,0.7254982769983847,-0.7884289006804577
12420,Austin,1000,0.1613858386028293,0.27960896635240173,0.05937308289295912,0.059373082892959145,-0.04830410026803315
12420,Austin,2000,0.2255748942274831,0.785473394897741,0.107458608416406,0.10745860841640578,-0.11014257460369278
12420,Austin,3000,0.276147411555303,1.5360630269997964,0.1536664987101376,0.15366649871013763,-0.1919503652598606
12420,Austin,4000,0.3356327577252113,2.4403469492811647,0.1992886809446039,0.1992886809446039,-0.2869744981700921
12420,Austin,5000,0.3768815610026601,3.212553163136156,0.2338100110864521,0.2338100110864518,-0.36456565690051707
12420,Austin,6000,0.4163846647030275,4.026406871699212,0.2672725045861026,0.26727250458610324,-0.44485639475894234
12420,Austin,7000,0.417829858755273,4.437794118693897,0.31333810735327616,0.3133381073532765,-0.4891862509230887
12420,Austin,8000,0.4501154967517632,5.335525907699206,0.3209617059753741,0.3209617059753749,-0.5721385815701084
12420,Austin,9000,0.44833850669984454,5.578059006776075,0.354570054534309,0.35457005453430923,-0.5938693856250413
12420,Austin,10000,0.4894785930237068,6.382575945852027,0.393994856351645,0.3939948563516454,-0.6783195929428285
12420,Austin,11000,0.47856986196270435,6.158417191418225,0.4129005211631634,0.4129005211631635,-0.6534642491539898
12420,Austin,12000,0.4824387374532002,6.343939111936754,0.4085704547062945,0.4085704547062946,-0.6661089436959802
12420,Austin,13000,0.5172801569324715,7.903691200350166,0.4436185981766308,0.4436185981766317,-0.8186901308147349
12420,Austin,14000,0.5309014198763093,8.143407409809278,0.4640528593795207,0.4640528593795211,-0.8385503672650458
12420,Austin,15000,0.510485914130054,8.207681443301306,0.4885535989735045,0.4885535989735053,-0.8413699857911813
12420,Austin,16000,0.5383632081320769,8.22505794704041,0.5577059810655125,0.5577059810655127,-0.8546324251028725
12420,Austin,17000,0.5383632081320769,8.22505794704041,0.5577059810655125,0.5577059810655127,-0.8546324251028725
12420,Austin,18000,0.47506815831290394,8.126561397524666,0.4683069048906071,0.46830690489060667,-0.820673434762972
12420,Austin,19000,0.5587548549407184,10.341531924552589,0.5007956791816525,0.5007956791816534,-1.0301187274987116
12420,Austin,20000,0.5587548549407184,10.341531924552589,0.5007956791816525,0.5007956791816534,-1.0301187274987116
29820,LasVegas,1000,0.11612037387052643,0.17094465404186432,0.050304914645738885,0.050304914645738955,-0.03987342523719609
29820,LasVegas,2000,0.14471105633412684,0.5838306877453918,0.08218022315297155,0.08218022315297152,-0.09274816312544873
29820,LasVegas,3000,0.19003835727425689,1.2434227847589343,0.124470037915719,0.12447003791571887,-0.17134966837389243
29820,LasVegas,4000,0.2628994555379265,2.2346295935041556,0.18380961995829914,0.1838096199582991,-0.2879398668671442
29820,LasVegas,5000,0.309376584183361,3.514294738254192,0.21955319762458528,0.2195531976245852,-0.4207657776515959
29820,LasVegas,6000,0.3680105753041034,4.336949747732269,0.28056827291878844,0.280568272918788,-0.5126290675366595
29820,LasVegas,7000,0.3963160049649709,5.37671374215495,0.3407069519263334,0.3407069519263336,-0.6213321354497174
29820,LasVegas,8000,0.41605719029219246,5.84244894839628,0.39608929895229367,0.3960892989522935,-0.6723853634304603
29820,LasVegas,9000,0.4886928340830661,7.108011174945215,0.4327061668814833,0.43270616688148295,-0.79576373250511
29820,LasVegas,10000,0.5480959569664439,7.490507734880754,0.5358568796132263,0.5358568796132266,-0.8529707949202241
29820,LasVegas,11000,0.4879249681034449,8.36016607933577,0.4840022121625903,0.4840022121625917,-0.9071463675863864
29820,LasVegas,12000,0.48898442001685394,7.9359575128090745,0.5352170979976774,0.5352170979976764,-0.8718560079709763
29820,LasVegas,13000,0.5525308547018448,8.021825236181156,0.6550953972396524,0.655095397239652,-0.9074376504428845
29820,LasVegas,14000,0.5090052636067104,7.964445597930373,0.6250591952094636,0.6250591952094637,-0.8746418385662398
29820,LasVegas,15000,0.4945871276986842,7.861061347411743,0.6701742853953413,0.6701742853953416,-0.8725922273353915
29820,LasVegas,16000,0.5470208470029034,8.345776707322546,0.676156110749716,0.6761561107497164,-0.9245326356388892
29820,LasVegas,17000,0.4701617963387499,7.389160353507047,0.7256803889718823,0.7256803889718819,-0.8349808930638534
29820,LasVegas,18000,0.7209784164042394,9.348338326611286,0.8852571930789871,0.8852571930789872,-1.0586545494675261
29820,LasVegas,19000,0.5136008252707824,7.592601628477654,0.7264022433055882,0.7264022433055879,-0.8538394875756247
29820,LasVegas,20000,0.5136008252707824,7.592601628477654,0.7264022433055882,0.7264022433055879,-0.8538394875756247
17140,Cincinnati,1000,0.08486895938839933,0.4016459070039703,0.03674910694785233,0.03674910694785231,-0.048982734465577556
17140,Cincinnati,2000,0.16609825134663547,1.1881901531266335,0.091111077194618,0.09111107719461814,-0.1361498259328435
17140,Cincinnati,3000,0.24514365482005296,2.171935288106558,0.1507644910494122,0.1507644910494124,-0.2417525321157723
17140,Cincinnati,4000,0.3053745160446891,3.1762757081896966,0.20612638461759925,0.20612638461759938,-0.3460396062554105
17140,Cincinnati,5000,0.3476339808136424,4.064936857755917,0.25660380614960693,0.2566038061496056,-0.43672157455195443
17140,Cincinnati,6000,0.36854085881783316,4.83715739012039,0.30087901747047496,0.300879017470475,-0.5134422546327125
17140,Cincinnati,7000,0.4119651632527015,5.806792242899041,0.33838083818086895,0.33838083818086845,-0.6110595069807904
17140,Cincinnati,8000,0.440078800243318,6.162865126662747,0.41623379938768995,0.4162337993876892,-0.6492830086299439
17140,Cincinnati,9000,0.4670321944575182,7.24067000366934,0.4327309564766624,0.43273095647666215,-0.7488008023912079
17140,Cincinnati,10000,0.472327711744565,7.40528518311065,0.4679030993712469,0.4679030993712473,-0.7628816482969274
17140,Cincinnati,11000,0.5050811517495587,8.933815058691888,0.48000251796240767,0.48000251796240645,-0.9071901490236763
17140,Cincinnati,12000,0.5208878163815569,8.793996221691078,0.5245884079418138,0.5245884079418135,-0.8966642557065339
17140,Cincinnati,13000,0.5359787825488131,9.325118390393257,0.5280830211653789,0.5280830211653775,-0.939825466034153
17140,Cincinnati,14000,0.47976746488313693,8.887196385823025,0.5092065200410554,0.5092065200410537,-0.8895841984123004
17140,Cincinnati,15000,0.5239573865271786,9.97919382030859,0.5559457128589017,0.5559457128589037,-0.9942270150536376
17140,Cincinnati,16000,0.579141502634459,11.308769324585715,0.5859554891516736,0.5859554891516741,-1.1237652665741917
17140,Cincinnati,17000,0.5389306140803338,11.311390294309332,0.6014238259123649,0.6014238259123647,-1.1150937346678
17140,Cincinnati,18000,0.5362607318487005,11.0994804152533,0.6152681777140767,0.6152681777140759,-1.0894021668700034
17140,Cincinnati,19000,0.5362607318487005,11.0994804152533,0.6152681777140767,0.6152681777140759,-1.0894021668700034
17140,Cincinnati,20000,0.5905171765441584,12.818878931609197,0.6524772461522965,0.6524772461522961,-1.2454389243316348
26900,Indianapolis,1000,0.10753482168748774,0.2654850987494616,0.057261106751461816,0.05726110675146194,-0.042458194327519926
26900,Indianapolis,2000,0.15856023471776548,0.8069491758058568,0.09965611610254552,0.09965611610254539,-0.1049414569988564
26900,Indianapolis,3000,0.23880686096787818,1.6919116469054103,0.15202281129893647,0.15202281129893663,-0.20156767528998717
26900,Indianapolis,4000,0.30307762645011593,2.653030430908225,0.20456445966658998,0.20456445966659054,-0.30255210977951985
26900,Indianapolis,5000,0.3589214883842824,3.4447463470614337,0.279060967708672,0.2790609677086722,-0.3910611473056414
26900,Indianapolis,6000,0.4122453928897709,4.332640383355507,0.32265144718021266,0.32265144718021316,-0.4823695817612421
26900,Indianapolis,7000,0.44575594956290887,4.9167220286104,0.3857412947382287,0.3857412947382284,-0.543321419900348
26900,Indianapolis,8000,0.46921826195543037,5.959627935241679,0.4144285299462294,0.41442852994623064,-0.6443238494275085
26900,Indianapolis,9000,0.4937285136969659,6.460256462015723,0.45301193196284867,0.4530119319628484,-0.693259591243633
26900,Indianapolis,10000,0.5194794637695452,6.660274793044437,0.4945288079555882,0.4945288079555881,-0.7164699520421791
26900,Indianapolis,11000,0.5189856667422739,7.41794317450636,0.5260482831566338,0.5260482831566343,-0.7880427505086233
26900,Indianapolis,12000,0.5138923381507994,7.628285840492415,0.5406683737813369,0.5406683737813366,-0.8024891517889283
26900,Indianapolis,13000,0.4967378449916323,7.464493769931219,0.577130718492625,0.5771307184926251,-0.7862218565331583
26900,Indianapolis,14000,0.524043781059276,8.678302942115636,0.560151629251586,0.5601516292515857,-0.8980590769557067
26900,Indianapolis,15000,0.576899629451912,9.141370001207509,0.6477467391965788,0.6477467391965781,-0.9495815688276062
26900,Indianapolis,16000,0.576899629451912,9.141370001207509,0.6477467391965788,0.6477467391965781,-0.9495815688276062
26900,Indianapolis,17000,0.5443206220203989,9.426266545720951,0.6191778336364394,0.6191778336364392,-0.9644165765162506
26900,Indianapolis,18000,0.5335366752419797,8.742182071981581,0.673957554341676,0.6739575543416755,-0.90250050785697
26900,Indianapolis,19000,0.5335366752419797,8.742182071981581,0.673957554341676,0.6739575543416755,-0.90250050785697
26900,Indianapolis,20000,0.6088342284324038,10.979815919777643,0.7166973672761364,0.7166973672761362,-1.1179653578835507
45300,Tampa,1000,0.07974439606552852,0.18049770247782335,0.033519983245744144,0.03351998324574412,-0.02657419364134932
45300,Tampa,2000,0.12034007461111917,0.5351428572251603,0.06140874032775161,0.06140874032775155,-0.0681117405094889
45300,Tampa,3000,0.14774682918096083,0.9241776447451702,0.08116113853471621,0.081161138534716,-0.10966177910505058
45300,Tampa,4000,0.16369412302462183,1.2887986185857228,0.1043880121854363,0.10438801218543622,-0.1477411549484254
45300,Tampa,5000,0.19555885956255348,1.941623585695048,0.11759787481368969,0.1175978748136893,-0.21168623822531188
45300,Tampa,6000,0.23913342108652802,2.5942876541959636,0.14100458026765075,0.14100458026765064,-0.2774465502205286
45300,Tampa,7000,0.26818386944551487,3.1477006804039127,0.17723412205670294,0.17723412205670336,-0.3341982477349328
45300,Tampa,8000,0.32177149853951315,4.180702777416067,0.21122537009279455,0.21122537009279455,-0.43742668209735996
45300,Tampa,9000,0.34554949508772204,4.699151779623175,0.2565227379735735,0.25652273797357317,-0.4932229809233561
45300,Tampa,10000,0.35929252969981973,5.082860434595588,0.2524191511140939,0.25241915111409324,-0.5271262770808139
45300,Tampa,11000,0.3982428146473225,5.7079387658833785,0.3217334206491853,0.321733420649185,-0.5914988804423844
45300,Tampa,12000,0.4111395613680343,6.484314466518359,0.34210505394621843,0.342105053946218,-0.6679620620947344
45300,Tampa,13000,0.3937905412775876,6.6876332592878684,0.3229687425614166,0.32296874256141667,-0.6758906133541867
45300,Tampa,14000,0.42245286167463714,7.018369185935137,0.4017323806813182,0.40173238068131784,-0.7217607728442142
45300,Tampa,15000,0.42245286167463714,7.018369185935137,0.4017323806813182,0.40173238068131784,-0.7217607728442142
45300,Tampa,16000,0.4253080856275693,7.04109705899499,0.4491236788307847,0.4491236788307835,-0.7212564466225996
45300,Tampa,17000,0.44780264961706207,8.65869420147404,0.44520783453702945,0.4452078345370295,-0.8706626264677616
45300,Tampa,18000,0.44780264961706207,8.65869420147404,0.44520783453702945,0.4452078345370295,-0.8706626264677616
45300,Tampa,19000,0.5096753806776577,10.037135878531846,0.46259253799676436,0.462592537996764,-0.9922663882063225
45300,Tampa,20000,0.5096753806776577,10.037135878531846,0.46259253799676436,0.462592537996764,-0.9922663882063225
18140,Columbus,1000,0.0958276331530169,0.43609495714080715,0.03844842667649855,0.03844842667649848,-0.05482258853523106
18140,Columbus,2000,0.15604988224936622,1.1440594955548409,0.08113004401385787,0.08113004401385811,-0.1325028147443024
18140,Columbus,3000,0.23260433515356438,2.0623156891121552,0.13637950802960447,0.13637950802960438,-0.2318577326164841
18140,Columbus,4000,0.2848726344029682,2.771029033581315,0.18771151152264384,0.18771151152264406,-0.3078599803698853
18140,Columbus,5000,0.351815159126166,3.7477752982626327,0.24664933149774554,0.2466493314977463,-0.4108889999167596
18140,Columbus,6000,0.41770490425132534,4.487483581261363,0.30175262203480807,0.30175262203480835,-0.4884232324588698
18140,Columbus,7000,0.439757645321578,5.1883491880852395,0.3428855411659347,0.34288554116593467,-0.5582672648914278
18140,Columbus,8000,0.45800823685637937,5.72474802313564,0.39193118124637594,0.39193118124637605,-0.6120360706256734
18140,Columbus,9000,0.49683917607376926,6.664855265734275,0.41345749749955607,0.4134574974995562,-0.702708024856348
18140,Columbus,10000,0.4914624554028325,6.741227250346344,0.4391527965659646,0.4391527965659636,-0.7059774385625045
18140,Columbus,11000,0.4914175622084884,7.341405174765915,0.46918671603613665,0.4691867160361367,-0.7636882567577312
18140,Columbus,12000,0.517205717609682,7.918179943698438,0.46917738307550855,0.4691773830755075,-0.8176828721202095
18140,Columbus,13000,0.49593420816005185,7.99949469666524,0.48475624632663794,0.48475624632663783,-0.8179811731308327
18140,Columbus,14000,0.5365928876910895,8.88498513218019,0.5044827508092729,0.504482750809273,-0.9044529047291019
18140,Columbus,15000,0.5210557283374312,8.642534459952097,0.5177815051774513,0.5177815051774513,-0.8783256760566149
18140,Columbus,16000,0.4848521013585474,8.184183494194395,0.5446194810137,0.5446194810137001,-0.8340791777324497
18140,Columbus,17000,0.4848521013585474,8.184183494194395,0.5446194810137,0.5446194810137001,-0.8340791777324497
18140,Columbus,18000,0.5363030031861971,9.105368593876058,0.5406186423984345,0.5406186423984355,-0.9122194777765844
18140,Columbus,19000,0.5534736286073951,10.739384597562935,0.5486287281942587,0.5486287281942589,-1.0631624852627795
18140,Columbus,20000,0.5534736286073951,10.739384597562935,0.5486287281942587,0.5486287281942589,-1.0631624852627795
34980,Nashville,1000,0.11521339856586343,0.41334924785920385,0.043881511421041686,0.04388151142104186,-0.050492353170468046
34980,Nashville,2000,0.1889293173429677,1.0234634754289247,0.0904297471230307,0.09042974712303078,-0.11770906582895303
34980,Nashville,3000,0.25824622826456434,1.82428843761698,0.1434191679908871,0.14341916799088672,-0.20174663310302138
34980,Nashville,4000,0.32509148973399793,2.6278487598159646,0.20029562639701157,0.20029562639701104,-0.2850211953570888
34980,Nashville,5000,0.3698468618255174,3.5755736524404305,0.2460054065928624,0.24600540659286257,-0.3780239042546571
34980,Nashville,6000,0.4185234628556932,4.616810961229746,0.2923441427678483,0.29234414276784904,-0.4802258019306772
34980,Nashville,7000,0.44077902861633644,5.292074763885959,0.3386613074110245,0.33866130741102585,-0.5464624066529671
34980,Nashville,8000,0.4643415446278115,6.023758076013714,0.371350613335592,0.37135061333559155,-0.6138797373681488
34980,Nashville,9000,0.5102392575108456,6.702547444030598,0.4319047176305819,0.4319047176305817,-0.6820980887694762
34980,Nashville,10000,0.48989078751550863,7.182103740887987,0.43335910645253284,0.4333591064525318,-0.721142980868614
34980,Nashville,11000,0.5141352088948272,7.751615764165777,0.45679920540288166,0.45679920540288177,-0.776804806511717
34980,Nashville,12000,0.5195219649220209,8.293823745757493,0.5012884676500227,0.5012884676500212,-0.8236664050579254
34980,Nashville,13000,0.5026965212581436,8.206004787715061,0.522179772446446,0.5221797724464465,-0.8154716162868634
34980,Nashville,14000,0.4871482875758768,8.406174470448178,0.4781291235637932,0.47812912356379345,-0.8264359149173155
34980,Nashville,15000,0.5691548484461428,9.922528948729074,0.5706674769975086,0.5706674769975087,-0.9757979763792378
34980,Nashville,16000,0.5481055311404306,9.313427065054475,0.5801602383581361,0.5801602383581352,-0.9138362512391287
34980,Nashville,17000,0.5309902775110054,9.872571154042886,0.5522583510342131,0.5522583510342142,-0.9537928052689733
34980,Nashville,18000,0.5723165003219048,10.831075375220857,0.6033912504299784,0.6033912504299789,-1.04798481779598
34980,Nashville,19000,0.5723165003219048,10.831075375220857,0.6033912504299784,0.6033912504299789,-1.04798481779598
34980,Nashville,20000,0.5742050103195514,11.81536742365072,0.6169766053893043,0.6169766053893052,-1.1315915187052494
28140,KansasCity,1000,0.10060851483248145,0.2751174143540904,0.04889547440596038,0.04889547440596031,-0.03915387541834804
28140,KansasCity,2000,0.13750956364734646,0.8888897582145897,0.08178281353427952,0.0817828135342797,-0.10483362559912507
28140,KansasCity,3000,0.19435267291640845,1.7317363269900403,0.11549687363996523,0.11549687363996554,-0.19177512252546525
28140,KansasCity,4000,0.2528134403948522,2.684389226277319,0.16303044742234968,0.16303044742234976,-0.29151041352179863
28140,KansasCity,5000,0.2910306164929949,3.521633202021193,0.20765663850935304,0.2076566385093529,-0.37653719244007583
28140,KansasCity,6000,0.341794270434541,4.411634554598761,0.26937043562777935,0.2693704356277792,-0.4706092537662569
28140,KansasCity,7000,0.3651444064541781,4.925281573864995,0.29909219893134453,0.2990921989313443,-0.5197146758849248
28140,KansasCity,8000,0.38875266758588256,5.6570767442621355,0.3130187929107072,0.31301879291070656,-0.5885560816621126
28140,KansasCity,9000,0.414963183772619,6.091775543824098,0.3598718994081794,0.359871899408179,-0.6341481776088
28140,KansasCity,10000,0.4621247119278378,7.065544602259585,0.4261493878355691,0.4261493878355682,-0.7326134171691091
28140,KansasCity,11000,0.46132391516179405,7.2266510389357315,0.4446111089478561,0.4446111089478556,-0.7458396863949736
28140,KansasCity,12000,0.4606464215285211,7.805918061955519,0.44265379205782623,0.4426537920578263,-0.7937893426024089
28140,KansasCity,13000,0.427948592617562,7.404338470927355,0.49022230105869485,0.4902223010586956,-0.7552382373122025
28140,KansasCity,14000,0.46195457797687656,8.237068893905303,0.5100671883887652,0.5100671883887647,-0.8374862635280218
28140,KansasCity,15000,0.4934207102090107,8.781300744186272,0.5363912414313349,0.5363912414313358,-0.8907164633340707
28140,KansasCity,16000,0.5047820052546688,8.521065353212755,0.6174831859703137,0.6174831859703127,-0.8782524905331346
28140,KansasCity,17000,0.47411592873956443,8.503028215701974,0.5737889323993335,0.5737889323993336,-0.855156027262891
28140,KansasCity,18000,0.48398988420869404,8.562027642290863,0.612697714909005,0.6126977149090058,-0.8704916372177773
28140,KansasCity,19000,0.5283205403185451,9.751600332034707,0.6299021336841695,0.6299021336841697,-0.979528916136241
28140,KansasCity,20000,0.5283205403185451,9.751600332034707,0.6299021336841695,0.6299021336841697,-0.979528916136241
47260,VirginiaBeach,1000,0.03451884633000979,0.20447381877086834,0.0168987504098003,0.016898750409800357,-0.024766658760138085
47260,VirginiaBeach,2000,0.10102803891245504,0.7042530547801601,0.045740654295886064,0.04574065429588629,-0.08206103461697026
47260,VirginiaBeach,3000,0.15156291150000323,1.2414982808440547,0.07849846759661552,0.0784984675966156,-0.14192670677960648
47260,VirginiaBeach,4000,0.2006377957604386,1.9039105918493597,0.11242874987433712,0.1124287498743371,-0.21262294931654302
47260,VirginiaBeach,5000,0.23198681413478495,2.531707652831506,0.13472918449363994,0.13472918449364046,-0.27590442582604763
47260,VirginiaBeach,6000,0.3041716915644994,3.26129547687704,0.19698976092276696,0.19698976092276618,-0.3585236530083636
47260,VirginiaBeach,7000,0.33722906493527616,4.145017038674303,0.21857472702600594,0.21857472702600586,-0.44529715508055145
