;geoid;cbsacode;short_name
475;14000US34017012700;35620.0;New York
476;14000US34017012800;35620.0;New York
477;14000US34017012900;35620.0;New York
478;14000US34017013000;35620.0;New York
479;14000US34017013100;35620.0;New York
480;14000US34017013200;35620.0;New York
481;14000US34017013300;35620.0;New York
482;14000US34017013400;35620.0;New York
483;14000US34017013500;35620.0;New York
484;14000US34017013600;35620.0;New York
485;14000US34017013700;35620.0;New York
486;14000US34017013800;35620.0;New York
487;14000US34017013900;35620.0;New York
488;14000US34017014000;35620.0;New York
489;14000US34017014101;35620.0;New York
490;14000US34017014102;35620.0;New York
491;14000US34017014200;35620.0;New York
492;14000US34017014300;35620.0;New York
493;14000US34017014400;35620.0;New York
494;14000US34017014501;35620.0;New York
495;14000US34017014502;35620.0;New York
496;14000US34017014600;35620.0;New York
497;14000US34017014700;35620.0;New York
498;14000US34017014800;35620.0;New York
499;14000US34017014900;35620.0;New York
500;14000US34017015001;35620.0;New York
501;14000US34017015002;35620.0;New York
502;14000US34017015100;35620.0;New York
503;14000US34017015201;35620.0;New York
504;14000US34017015202;35620.0;New York
505;14000US34017015300;35620.0;New York
506;14000US34017015500;35620.0;New York
507;14000US34017015600;35620.0;New York
508;14000US34017015700;35620.0;New York
509;14000US34017015801;35620.0;New York
510;14000US34017015802;35620.0;New York
511;14000US34017015900;35620.0;New York
512;14000US34017016000;35620.0;New York
513;14000US34017016100;35620.0;New York
514;14000US34017016200;35620.0;New York
515;14000US34017016300;35620.0;New York
516;14000US34017016400;35620.0;New York
517;14000US34017016500;35620.0;New York
518;14000US34017016600;35620.0;New York
519;14000US34017016700;35620.0;New York
520;14000US34017016800;35620.0;New York
521;14000US34017016900;35620.0;New York
522;14000US34017017000;35620.0;New York
523;14000US34017017100;35620.0;New York
524;14000US34017017200;35620.0;New York
525;14000US34017017300;35620.0;New York
526;14000US34017017400;35620.0;New York
527;14000US34017017500;35620.0;New York
528;14000US34017017600;35620.0;New York
529;14000US34017017700;35620.0;New York
530;14000US34017017800;35620.0;New York
531;14000US34017017900;35620.0;New York
532;14000US34017018000;35620.0;New York
533;14000US34017018100;35620.0;New York
534;14000US34017018200;35620.0;New York
535;14000US34017018301;35620.0;New York
536;14000US34017018302;35620.0;New York
537;14000US34017018400;35620.0;New York
538;14000US34017018500;35620.0;New York
539;14000US34017018600;35620.0;New York
540;14000US34017018701;35620.0;New York
541;14000US34017018702;35620.0;New York
542;14000US34017018800;35620.0;New York
543;14000US34017018900;35620.0;New York
544;14000US34017019000;35620.0;New York
545;14000US34017019100;35620.0;New York
546;14000US34017019200;35620.0;New York
547;14000US34017019300;35620.0;New York
548;14000US34017019400;35620.0;New York
549;14000US34017019800;35620.0;New York
550;14000US34017019900;35620.0;New York
551;14000US34017020000;35620.0;New York
552;14000US34017020100;35620.0;New York
553;14000US34017032400;35620.0;New York
554;14000US34019010100;35620.0;New York
555;14000US34019010200;35620.0;New York
